01340;[['Malafretaz', '01340', '0'], ['Jayat', '01340', '0'], ['Attignat', '01340', '0'], ['St sulpice', '01340', '0'], ['Etrez', '01340', '0'], ['Montrevel en bresse', '01340', '0'], ['Foissiat', '01340', '0'], ['Cras sur reyssouze', '01340', '0'], ['Marsonnas', '01340', '0'], ['St didier d aussiat', '01340', '0']]
01380;[['Dommartin', '01380', '0'], ['St andre de bage', '01380', '0'], ['Bage le chatel', '01380', '0'], ['Boissey', '01380', '0'], ['St genis sur menthon', '01380', '0'], ['Bage la ville', '01380', '0'], ['St cyr sur menthon', '01380', '0'], ['Asnieres sur saone', '01570', '10.396442331351475'], ['Manziat', '01570', '10.396442331351475'], ['Vesines', '01570', '10.396442331351475']]
01360;[['Beligneux', '01360', '0'], ['Bressolles', '01360', '0'], ['Loyettes', '01360', '0'], ['Balan', '01360', '0'], ['Villette d anthon', '38280', '6.8984184134210915'], ['Anthon', '38280', '6.8984184134210915'], ['Janneyrias', '38280', '6.8984184134210915'], ['Charnoz sur ain', '01800', '7.854697745612353'], ['Bourg st christophe', '01800', '7.854697745612353'], ['St eloi', '01800', '7.854697745612353']]
01990;[['Relevant', '01990', '0.00018985627021715547'], ['Chaneins', '01990', '0.00018985627021715547'], ['St trivier sur moignans', '01990', '0.00018985627021715547'], ['Baneins', '01990', '0.00018985627021715547'], ['Ars sur formans', '01480', '11.463753632116525'], ['Fareins', '01480', '11.463753632116525'], ['Chaleins', '01480', '11.463753632116525'], ['Messimy sur saone', '01480', '11.463753632116525'], ['Jassans riottier', '01480', '11.463753632116525'], ['Villeneuve', '01480', '11.463753632116525']]
01270;[['Beaupont', '01270', '0'], ['Salavre', '01270', '0'], ['Pirajoux', '01270', '0'], ['Coligny', '01270', '0'], ['Verjon', '01270', '0'], ['Villemotier', '01270', '0'], ['Domsure', '01270', '0'], ['Marboz', '01851', '8.277956838394944'], ['Val d epy', '39160', '8.879748949115463'], ['Les trois chateaux', '39160', '8.879748949115463']]
01200;[['Leaz', '01200', '0'], ['Injoux genissiat', '01200', '0'], ['Chezery forens', '01200', '0'], ['Eloise', '01200', '0'], ['Confort', '01200', '0'], ['Lancrans', '01200', '0'], ['Montanges', '01200', '0'], ['Bellegarde sur valserine', '01200', '0'], ['Chatillon en michaille', '01200', '0'], ['Villes', '01200', '0']]
01130;[['Nantua', '01130', '0.00013424865612133622'], ['Echallon', '01130', '0.00013424865612133622'], ['Le poizat lalleyriat', '01130', '0.00013424865612133622'], ['Plagne', '01130', '0.00013424865612133622'], ['Charix', '01130', '0.00013424865612133622'], ['Les neyrolles', '01130', '0.00013424865612133622'], ['Belleydoux', '01130', '0.00013424865612133622'], ['Giron', '01130', '0.00013424865612133622'], ['St germain de joux', '01130', '0.00013424865612133622'], ['Arbent', '01100', '9.033811154821734']]
01260;[['Haut valromey', '01260', '0.00013424865612133622'], ['Champagne en valromey', '01260', '0.00013424865612133622'], ['Brenaz', '01260', '0.00013424865612133622'], ['Belmont luthezieu', '01260', '0.00013424865612133622'], ['Vieu', '01260', '0.00013424865612133622'], ['Sutrieu', '01260', '0.00013424865612133622'], ['Lompnieu', '01260', '0.00013424865612133622'], ['Ruffieu', '01260', '0.00013424865612133622'], ['Lochieu', '01260', '0.00013424865612133622'], ['Virieu le petit', '01260', '0.00013424865612133622']]
01470;[['Serrieres de briord', '01470', '0'], ['Benonces', '01470', '0'], ['Montagnieu', '01470', '0'], ['Briord', '01470', '0'], ['Seillonnaz', '01470', '0'], ['Groslee st benoit', '01680', '10.413157936645861'], ['Lhuis', '01680', '10.413157936645861'], ['Innimond', '01680', '10.413157936645861'], ['Marchamp', '01680', '10.413157936645861'], ['Lompnas', '01680', '10.413157936645861']]
01370;[['Val revermont', '01370', '0'], ['Beny', '01370', '0'], ['Courmangoux', '01370', '0'], ['Meillonnas', '01370', '0'], ['St etienne du bois', '01370', '0'], ['Journans', '01250', '10.96766817350209'], ['Bohas meyriat rignat', '01250', '10.96766817350209'], ['Ceyzeriat', '01250', '10.96766817350209'], ['St just', '01250', '10.96766817350209'], ['Chavannes sur suran', '01250', '10.96766817350209']]
